id,code,place
2036,AU,Австралия
2040,AT,Австрия
2031,AZ,Азербайджан
2008,AL,Албания
2012,DZ,Алжир
2016,AS,Американское Самоа
2024,AO,Ангола
2020,AD,Андорра
2028,AG,Антигуа и Барбуда
2032,AR,Аргентина
2051,AM,Армения
2004,AF,Афганистан
2044,BS,Багамы
2050,BD,Бангладеш
2048,BH,Бахрейн
2112,BY,Беларусь
2084,BZ,Белиз
2056,BE,Бельгия
2204,BJ,Бенин
2100,BG,Болгария
2068,BO,Боливия
2070,BA,Босния и Герцеговина
2072,BW,Ботсвана
2076,BR,Бразилия
2096,BN,Бруней
2854,BF,Буркина-Фасо
2108,BI,Бурунди
2064,BT,Бутан
2548,VU,Вануату
2826,GB,Великобритания
2348,HU,Венгрия
2862,VE,Венесуэла
2850,VI,Виргинские о-ва (США)
2626,TL,Восточный Тимор
2704,VN,Вьетнам
2266,GA,Габон
2332,HT,Гаити
2328,GY,Гайана
2270,GM,Гамбия
2288,GH,Гана
2320,GT,Гватемала
2276,DE,Германия
2831,GG,Гернси
2292,GI,Гибралтар
2340,HN,Гондурас
2344,HK,Гонконг
2304,GL,Гренландия
2300,GR,Греция
2268,GE,Грузия
2208,DK,Дания
2832,JE,Джерси
2262,DJ,Джибути
2212,DM,Доминика
2214,DO,Доминиканская Республика
2818,EG,Египет
2894,ZM,Замбия
2716,ZW,Зимбабве
2376,IL,Израиль
2356,IN,Индия
2360,ID,Индонезия
2400,JO,Иордания
2368,IQ,Ирак
2372,IE,Ирландия
2352,IS,Исландия
2724,ES,Испания
2380,IT,Италия
2132,CV,Кабо-Верде
2398,KZ,Казахстан
2116,KH,Камбоджа
2120,CM,Камерун
2124,CA,Канада
2634,QA,Катар
2404,KE,Кения
2196,CY,Кипр
2417,KG,Киргизия
2296,KI,Кирибати
2170,CO,Колумбия
2178,CG,Конго - Браззавиль
2180,CD,Конго - Киншаса
2188,CR,Коста-Рика
2384,CI,Кот-д’Ивуар
2414,KW,Кувейт
2418,LA,Лаос
2428,LV,Латвия
2426,LS,Лесото
2422,LB,Ливан
2434,LY,Ливия
2440,LT,Литва
2438,LI,Лихтенштейн
2442,LU,Люксембург
2480,MU,Маврикий
2450,MG,Мадагаскар
2454,MW,Малави
2458,MY,Малайзия
2466,ML,Мали
2462,MV,Мальдивы
2470,MT,Мальта
2504,MA,Марокко
2484,MX,Мексика
2508,MZ,Мозамбик
2498,MD,Молдова
2496,MN,Монголия
2104,MM,Мьянма (Бирма)
2516,,Намибия
2520,NR,Науру
2524,NP,Непал
2562,NE,Нигер
2566,NG,Нигерия
2528,NL,Нидерланды
2558,NI,Никарагуа
2570,NU,Ниуэ
2554,NZ,Новая Зеландия
2578,NO,Норвегия
2833,IM,о-в Мэн
2654,SH,о-в Св. Елены
2184,CK,о-ва Кука
2612,PN,о-ва Питкэрн
2784,AE,ОАЭ
2512,OM,Оман
2586,PK,Пакистан
2275,PS,Палестина
2591,PA,Панама
2598,PG,Папуа — Новая Гвинея
2600,PY,Парагвай
2604,PE,Перу
2616,PL,Польша
2620,PT,Португалия
2630,PR,Пуэрто-Рико
2410,KR,Республика Корея
2643,RU,Россия
2646,RW,Руанда
2642,RO,Румыния
2222,SV,Сальвадор
2882,WS,Самоа
2674,SM,Сан-Марино
2678,ST,Сан-Томе и Принсипи
2682,SA,Саудовская Аравия
2807,MK,Северная Македония
2690,SC,Сейшельские о-ва
2686,SN,Сенегал
2670,VC,Сент-Винсент и Гренадины
2688,RS,Сербия
2702,SG,Сингапур
2703,SK,Словакия
2705,SI,Словения
2840,US,Соединенные Штаты
2090,SB,Соломоновы о-ва
2706,SO,Сомали
2740,SR,Суринам
2694,SL,Сьерра-Леоне
2762,TJ,Таджикистан
2764,TH,Таиланд
2158,TW,Тайвань
2834,TZ,Танзания
2768,TG,Того
2776,TO,Тонга
2780,TT,Тринидад и Тобаго
2788,TN,Тунис
2795,TM,Туркменистан
2792,TR,Турция
2800,UG,Уганда
2860,UZ,Узбекистан
2804,UA,Украина
2858,UY,Уругвай
2583,FM,Федеративные Штаты Микронезии
2242,FJ,Фиджи
2608,PH,Филиппины
2246,FI,Финляндия
2250,FR,Франция
2191,HR,Хорватия
2140,CF,Центрально-Африканская Республика
2148,TD,Чад
2499,ME,Черногория
2203,CZ,Чехия
2152,CL,Чили
2756,CH,Швейцария
2752,SE,Швеция
2144,LK,Шри-Ланка
2218,EC,Эквадор
2233,EE,Эстония
2231,ET,Эфиопия
2710,ZA,Южно-Африканская Республика
2388,JM,Ямайка
2392,JP,Япония
